241.796875	453.359375
187.109375	448.984375
156.484375	419.453125
144.453125	385.546875
148.828125	292.578125
163.046875	240.078125
217.734375	210.546875
288.828125	208.359375
310.703125	237.890625
323.828125	277.265625
343.515625	371.328125
331.484375	400.859375
298.671875	436.953125
138.984375	382.265625
128.046875	350.546875
128.046875	315.546875
103.984375	238.984375
147.734375	174.453125
192.578125	139.453125
277.890625	156.953125
321.640625	185.390625
358.828125	233.515625
361.015625	290.390625
357.734375	334.140625
347.890625	370.234375
193.671875	298.046875
281.171875	292.578125
164.140625	283.828125
190.390625	268.515625
215.546875	276.171875
249.453125	273.984375
280.078125	264.140625
312.890625	279.453125
235.234375	288.203125
214.453125	343.984375
235.234375	350.546875
262.578125	345.078125
202.421875	386.640625
238.515625	376.796875
274.609375	382.265625
260.390625	394.296875
241.796875	398.671875
219.921875	394.296875
